n,beta,Lambda_eV,env_solar,rho_solar_kgm3,lambda_solar_m,lambda_lab_m,beta_eff_sun,beta_eff_earth,alpha_sun_earth,pass_cassini,pass_EotWash_Yukawa,pass_Ephemerides_Yukawa,pass_all,skipped_optional_gates
1.0,0.01,1e-10,SolarWind_1AU,8.36310962975e-21,1039789.199884304,0.9093292154654399,7.957938048317569e-31,2.424217130622033e-27,3.8583539482320637e-57,True,True,True,True,False
1.0,0.01,2.6101572156825333e-10,SolarWind_1AU,8.36310962975e-21,3449678.6074989755,3.016855283853681,8.759256024969305e-30,2.6683216655254187e-26,4.6745025250619305e-55,True,True,True,True,False
1.0,0.01,6.812920690579622e-10,SolarWind_1AU,8.36310962975e-21,11444899.116436543,10.008933672121561,9.641262051189576e-29,2.937006104269836e-25,5.663289099441781e-53,True,True,True,True,False
1.0,0.01,1.7782794100389228e-09,SolarWind_1AU,8.36310962975e-21,37970411.359675676,33.206350264491824,1.0612080943259452e-27,3.2327454999019566e-24,6.861231382783461e-51,True,True,True,True,False
1.0,0.01,4.641588833612773e-09,SolarWind_1AU,8.36310962975e-21,125973337.48031221,110.16774953354138,1.1680655639102291e-26,3.5582641288838826e-23,8.312571592492584e-49,True,True,True,True,False
1.0,0.01,1.2115276586285901e-08,SolarWind_1AU,8.36310962975e-21,417938104.63643765,365.5003618468549,1.285682957836423e-25,3.916560586438337e-22,1.0070910398635193e-46,True,True,True,True,False
1.0,0.01,3.162277660168379e-08,SolarWind_1AU,8.36310962975e-21,1386581182.9776738,1212.6099977154252,1.4151437377688461e-24,4.3109354088487975e-21,1.2201186495516712e-44,True,True,True,True,False
1.0,0.01,8.25404185268019e-08,SolarWind_1AU,8.36310962975e-21,4600220357.175227,4023.0411787540625,1.5576404636462372e-23,4.745021477164642e-20,1.4782074907404173e-42,True,True,True,True,False
1.0,0.01,2.1544346900318867e-07,SolarWind_1AU,8.36310962975e-21,15262018260.71522,13347.127564875258,1.7144857792420054e-22,5.222817482381679e-19,1.7908892602239844e-40,True,True,True,True,False
1.0,0.01,5.62341325190349e-07,SolarWind_1AU,8.36310962975e-21,50634357336.18525,44281.37976162211,1.8871245039064713e-21,5.7487247603716334e-18,2.1697118723022334e-38,True,True,True,True,False
1.0,0.01,1.4677992676220705e-06,SolarWind_1AU,8.36310962975e-21,167988145411.1401,146911.0551361788,2.077146941877074e-20,6.327587835874323e-17,2.6286659445489844e-36,True,True,True,True,False
1.0,0.01,3.8311868495572925e-06,SolarWind_1AU,8.36310962975e-21,557329419850.4075,487402.5659862309,2.286303531758451e-19,6.964739049033261e-16,3.1847014971161484e-34,True,True,True,True,False
1.0,0.01,1e-05,SolarWind_1AU,8.36310962975e-21,1849035724935.104,1617041.420809039,2.5165209711198606e-18,7.666047675563546e-15,3.858353948232065e-32,True,True,True,True,False
1.0,0.01,2.6101572156825386e-05,SolarWind_1AU,8.36310962975e-21,6134492438967.187,5364811.634344146,2.7699199647455853e-17,8.437973993034357e-14,4.674502525061978e-30,True,True,True,True,False
1.0,0.01,6.812920690579622e-05,SolarWind_1AU,8.36310962975e-21,20352228448731.758,17798680.665579032,3.0488347600305957e-16,9.287628791310662e-13,5.663289099441779e-28,True,True,True,True,False
1.0,0.01,0.00017782794100389227,SolarWind_1AU,8.36310962975e-21,67522000711619.27,59050168.95788635,3.3558346494767946e-15,1.0222838875349816e-11,6.86123138278346e-26,True,True,True,True,False
1.0,0.01,0.0004641588833612782,SolarWind_1AU,8.36310962975e-21,224015792255124.34,195909040.64582226,3.6937476383653166e-14,1.1252219163748056e-10,8.312571592492669e-24,True,True,True,True,False
1.0,0.01,0.00121152765862859,SolarWind_1AU,8.36310962975e-21,743210726145669.9,649961767.8340378,4.065686495625324e-13,1.2385252047189916e-09,1.0070910398635187e-21,True,True,True,True,False
1.0,0.01,0.0031622776601683794,SolarWind_1AU,8.36310962975e-21,2465728768036610.0,2156359391.344686,4.4750774278736025e-12,1.3632374737831393e-08,1.2201186495516717e-19,True,True,True,True,False
